[s],CH2[V],CH3[V]
5.5165E-03,1.21094E-02,-5.16406E-03
5.5266E-03,-1.95312E-03,-5.00781E-03
5.5366E-03,7.38281E-02,-1.53906E-03
5.5467E-03,2.30078E-01,7.89844E-03
5.5568E-03,3.33203E-01,1.40859E-02
5.5669E-03,4.02734E-01,1.96172E-02
5.5770E-03,4.73828E-01,2.50859E-02
5.5870E-03,5.65234E-01,3.16797E-02
5.5971E-03,6.27734E-01,3.85703E-02
5.6072E-03,7.18359E-01,4.50703E-02
5.6173E-03,8.04297E-01,5.22109E-02
5.6274E-03,9.12109E-01,6.07266E-02
5.6374E-03,1.01445E+00,6.83203E-02
5.6475E-03,1.09961E+00,7.66641E-02
5.6576E-03,1.20820E+00,8.63203E-02
5.6677E-03,1.31680E+00,9.55234E-02
5.6778E-03,1.42383E+00,1.05602E-01
5.6878E-03,1.52539E+00,1.13883E-01
5.6979E-03,1.65430E+00,1.24461E-01
5.7080E-03,1.78555E+00,1.35305E-01
5.7181E-03,1.90820E+00,1.45367E-01
